college_name,city,state,course_supported,fees
Rajiv Gandhi University,Rono,Arunachal Pradesh,mpc,80000
Rajiv Gandhi University,Rono,Arunachal Pradesh,bipc,80000
Rajiv Gandhi University,Rono,Arunachal Pradesh,cec,80000
Rajiv Gandhi University,Rono,Arunachal Pradesh,hec,80000
Rajiv Gandhi University,Rono,Arunachal Pradesh,general,80000
Assam University,P.O.,Assam,mpc,80000
Assam University,P.O.,Assam,bipc,80000
Assam University,P.O.,Assam,cec,80000
Assam University,P.O.,Assam,hec,80000
Assam University,P.O.,Assam,general,80000
Tezpur University,Napaam,Assam,mpc,80000
Tezpur University,Napaam,Assam,bipc,80000
Tezpur University,Napaam,Assam,cec,80000
Tezpur University,Napaam,Assam,hec,80000
Tezpur University,Napaam,Assam,general,80000
University of Hyderabad,Hyderabad,Telangana,mpc,60000
University of Hyderabad,Hyderabad,Telangana,bipc,60000
University of Hyderabad,Hyderabad,Telangana,cec,60000
University of Hyderabad,Hyderabad,Telangana,hec,60000
University of Hyderabad,Hyderabad,Telangana,general,60000
Maulana Azad National Urdu University,Gachibowli,Telangana,mpc,80000
Maulana Azad National Urdu University,Gachibowli,Telangana,bipc,80000
Maulana Azad National Urdu University,Gachibowli,Telangana,cec,80000
Maulana Azad National Urdu University,Gachibowli,Telangana,hec,80000
Maulana Azad National Urdu University,Gachibowli,Telangana,general,80000
English & Foreign Languages University,O.U.,Telangana,mpc,80000
English & Foreign Languages University,O.U.,Telangana,bipc,80000
English & Foreign Languages University,O.U.,Telangana,cec,80000
English & Foreign Languages University,O.U.,Telangana,hec,80000
English & Foreign Languages University,O.U.,Telangana,general,80000
Jamia Millia Islamia,Jamia,Delhi,mpc,80000
Jamia Millia Islamia,Jamia,Delhi,bipc,80000
Jamia Millia Islamia,Jamia,Delhi,cec,80000
Jamia Millia Islamia,Jamia,Delhi,hec,80000
Jamia Millia Islamia,Jamia,Delhi,general,80000
University of Delhi,,Delhi,mpc,60000
University of Delhi,,Delhi,bipc,60000
University of Delhi,,Delhi,cec,60000
University of Delhi,,Delhi,hec,60000
University of Delhi,,Delhi,general,60000
Jawaharlal Nehru University,New,Delhi,mpc,80000
Jawaharlal Nehru University,New,Delhi,bipc,80000
Jawaharlal Nehru University,New,Delhi,cec,80000
Jawaharlal Nehru University,New,Delhi,hec,80000
Jawaharlal Nehru University,New,Delhi,general,80000
Indira Gandhi National Open University,Maidan,Delhi,mpc,25000
Indira Gandhi National Open University,Maidan,Delhi,bipc,25000
Indira Gandhi National Open University,Maidan,Delhi,cec,25000
Indira Gandhi National Open University,Maidan,Delhi,hec,25000
Indira Gandhi National Open University,Maidan,Delhi,general,25000
The Indira Gandhi National Tribal University,Anuppur,Madhya Pradesh,mpc,80000
The Indira Gandhi National Tribal University,Anuppur,Madhya Pradesh,bipc,80000
The Indira Gandhi National Tribal University,Anuppur,Madhya Pradesh,cec,80000
The Indira Gandhi National Tribal University,Anuppur,Madhya Pradesh,hec,80000
The Indira Gandhi National Tribal University,Anuppur,Madhya Pradesh,general,80000
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post,Maharashtra,mpc,80000
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post,Maharashtra,bipc,80000
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post,Maharashtra,cec,80000
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post,Maharashtra,hec,80000
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Post,Maharashtra,general,80000
Mizoram University,Post,Mizoram,mpc,80000
Mizoram University,Post,Mizoram,bipc,80000
Mizoram University,Post,Mizoram,cec,80000
Mizoram University,Post,Mizoram,hec,80000
Mizoram University,Post,Mizoram,general,80000
North Eastern Hill University,NEHU,Meghalaya,mpc,80000
North Eastern Hill University,NEHU,Meghalaya,bipc,80000
North Eastern Hill University,NEHU,Meghalaya,cec,80000
North Eastern Hill University,NEHU,Meghalaya,hec,80000
North Eastern Hill University,NEHU,Meghalaya,general,80000
Manipur University,Imphal,Manipur,mpc,80000
Manipur University,Imphal,Manipur,bipc,80000
Manipur University,Imphal,Manipur,cec,80000
Manipur University,Imphal,Manipur,hec,80000
Manipur University,Imphal,Manipur,general,80000
Central Agricultural University,Imphal,Manipur,mpc,80000
Central Agricultural University,Imphal,Manipur,bipc,80000
Central Agricultural University,Imphal,Manipur,cec,80000
Central Agricultural University,Imphal,Manipur,hec,80000
Central Agricultural University,Imphal,Manipur,general,80000
Pondicherry University,Bharat,Puducherry,mpc,80000
Pondicherry University,Bharat,Puducherry,bipc,80000
Pondicherry University,Bharat,Puducherry,cec,80000
